speaker_lower,vader_entropy_mean,bert_entropy_mean,betweenness_mean,Character_Name,num_films
aberforth dumbledore,1.0688206728265008,0.8675632284814613,0.0,Aberforth Dumbledore,1
mrs. cole,1.0549201679861442,1.0549201679861442,0.0,Mrs. Cole,1
moaning myrtle,1.0523894911319993,0.8751844249203813,0.0,Moaning Myrtle,2
aragog,1.0397207708399179,0.5623351446188083,0.0,Aragog,1
gang thug,1.0114042647073518,1.0114042647073518,0.0,Gang thug,1
guard,1.0114042647073518,1.0114042647073518,0.0,Guard,1
helena ravenclaw,1.0114042647073518,1.0986122886681096,0.0,Helena Ravenclaw,1
marge dursley,1.0114042647073518,0.6365141682948128,0.0,Marge Dursley,1
firenze,0.9502705392332347,0.9502705392332347,0.0,Firenze,1
all,0.6931471805599453,0.6931471805599453,0.0,All,1
colin creevey,0.6931471805599453,0.0,0.0,Colin Creevey,1
magorian,0.6931471805599453,0.6931471805599453,0.0,Magorian,1
merpeople,0.6931471805599453,0.3182570841474064,0.0,Merpeople,2
mr. granger,0.6931471805599453,0.0,0.0,Mr. Granger,1
old man,0.6931471805599453,0.6931471805599453,0.0,Old man,1
snake,0.6931471805599453,0.0,0.0,Snake,1
witch,0.6931471805599453,0.6931471805599453,0.0,Witch,1
lavender brown,0.6837389058487535,1.0608569471580214,0.0,Lavender Brown,1
diary,0.6365141682948128,0.6365141682948128,0.0,Diary,1
kreacher,0.6730116670092565,0.7650277188013808,0.00013220518244315177,Kreacher,2
petunia dursley,0.9015430352830341,0.8826945701235358,0.0001417233560090703,Petunia Dursley,3
bane,0.6365141682948128,0.0,0.00019830777366472766,Bane,1
angelina johnson,0.9556998911125343,0.7963116401738131,0.00028203772254539045,Angelina Johnson,1
muriel,0.7963116401738131,1.0789922078775833,0.0003419199847771276,Muriel,1
ginny weasley,0.759977296029331,0.5454985242963281,0.0003495078207958033,Ginny Weasley,3
ghost,0.6931471805599453,0.6931471805599453,0.00035254715318173806,Ghost,1
the fat lady,0.6365141682948128,0.0,0.00041235567551357026,The Fat Lady,1
gellert grindelwald,0.6365141682948128,0.6365141682948128,0.00042517006802721087,Gellert Grindelwald,1
