speaker_lower,vader_entropy_mean,bert_entropy_mean,out_degree_mean,in_degree_mean,pagerank_mean,Character_Name,num_films,norm_bert_entropy_mean,norm_out_degree_mean,norm_pagerank_mean,score
rufus scrimgeour,1.0042424730540764,1.0346012329101812,5.0,3.0,0.013823488594413753,Rufus Scrimgeour,1,0.893210034760374,0.0,0.0,0.446605017380187
remus lupin,0.5488743844849944,0.8641502031949699,9.0,4.0,0.01628906110093322,Remus Lupin,1,0.5107596019035116,1.0,0.443601691527645,0.40049844772963983
george weasley,0.899718563174512,0.9776643654890679,5.333333333333333,3.0,0.015136237745404839,George Weasley,3,0.7654576261823733,0.08333333333333326,0.23618763690433275,0.23544537023438708
cormac mclaggen,0.5982695885852573,0.9556998911125343,5.0,3.0,0.015565371811393608,Cormac McLaggen,1,0.7161747163236653,0.0,0.3133967220402969,0.10736998052959512
poppy pomfrey,1.0114042647073518,1.0114042647073518,5.0,5.0,0.016624510017354276,Poppy Pomfrey,1,0.8411617101186175,0.0,0.5039551008684873,0.01741677436451894
olympe maxime,0.5623351446188083,1.0821955300387673,5.0,3.0,0.017648464438667372,Olympe Maxime,1,1.0,0.0,0.6881832718675679,-0.05054661749405431
arthur weasley,0.8675632284814613,1.0114042647073518,6.0,5.0,0.018298874493494276,Arthur Weasley,1,0.8411617101186175,0.25,0.8052039637129264,-0.09858231591103239
cornelius fudge,1.0114042647073518,0.6365141682948128,5.0,3.0,0.014709287346302252,Cornelius Fudge,1,0.0,0.0,0.15937143347104907,-0.12749714677683927
rubeus hagrid,1.024010220294295,1.0397207708399179,5.0,5.0,0.01844060761134709,Rubeus Hagrid,1,0.9046970260711702,0.0,0.8307043497931352,-0.21221496679892315
severus snape,0.9053285996832804,1.035772675453589,6.0,5.333333333333333,0.019381565927321792,Severus Snape,3,0.8958384653925724,0.25,1.0,-0.22708076730371385
seamus finnigan,0.6615632381579821,1.0821955300387673,5.0,3.0,0.01903748615154467,Seamus Finnigan,1,1.0,0.0,0.9380937408445345,-0.25047499267562756
scabior,1.0123308391031736,0.666278442414676,6.0,4.0,0.016841298422059572,Scabior,1,0.0667837533151385,0.25,0.5429593089283039,-0.2759755704850739
igor karkaroff,0.9701157839869381,1.0437570363314086,5.0,4.0,0.01902993410430533,Igor Karkaroff,1,0.9137534189068427,0.0,0.9367349891059388,-0.29251128183132974
lucius malfoy,0.9369181202504688,0.9347698978582794,5.0,5.0,0.01906061728504338,Lucius Malfoy,1,0.6692129291572563,0.0,0.9422554557889735,-0.4191979000525507
neville longbottom,0.7963116401738131,0.6829081047004717,5.0,5.0,0.017306772342166647,Neville Longbottom,1,0.10409664928351299,0.0,0.6267065999836327,-0.44931695534514965
sybill trelawney,0.6869615765973234,0.6869615765973234,5.0,4.0,0.01845472706738592,Sybill Trelawney,1,0.11319164908559225,0.0,0.833244698765114,-0.6099999344692951
