,Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Movie ID,Character Name,speaker,dialogue,Emotion
0,1,1,8,4,I should have known that you would be here...Professor McGonagall.,1,Albus Dumbledore,albus dumbledore,I should have known that you would be here...Professor McGonagall.,surprise
2,3,1,8,4,"I'm afraid so, Professor. The good, and the bad.",1,Albus Dumbledore,albus dumbledore,"I'm afraid so, Professor. The good, and the bad.",fear
3,4,1,8,7,And the boy?,1,Minerva McGonagall,minerva mcgonagall,And the boy?,surprise
6,7,1,8,4,"Ah, Professor, I would trust Hagrid with my life.",1,Albus Dumbledore,albus dumbledore,"Ah, Professor, I would trust Hagrid with my life.",fear
11,12,1,8,4,The only family he has.,1,Albus Dumbledore,albus dumbledore,The only family he has.,sadness
14,15,1,8,4,"There, there, Hagrid. It's not really goodbye, after all.",1,Albus Dumbledore,albus dumbledore,"There, there, Hagrid. It's not really goodbye, after all.",sadness
17,18,2,8,31,"Wake up, cousin! We're going to the zoo!",1,Dudley Dursley,dudley dursley,"Wake up, cousin! We're going to the zoo!",joy
18,19,2,8,32,"Oh, here he comes, the birthday boy!",1,Petunia Dursley,petunia dursley,"Oh, here he comes, the birthday boy!",joy
19,20,2,8,21,"Happy birthday, son.",1,Vernon Dursley,vernon dursley,"Happy birthday, son.",joy
22,23,2,8,32,I want everything to be perfect for my Dudley's special day.,1,Petunia Dursley,petunia dursley,I want everything to be perfect for my Dudley's special day.,joy
23,24,2,8,21,"Hurry up! Bring my coffee, boy!",1,Vernon Dursley,vernon dursley,"Hurry up! Bring my coffee, boy!",joy
25,26,2,8,32,"Aren't they wonderful, darling?",1,Petunia Dursley,petunia dursley,"Aren't they wonderful, darling?",surprise
28,29,2,8,31,Thirty-six?! But last year last year I had thirty-seven!!,1,Dudley Dursley,dudley dursley,Thirty-six?! But last year last year I had thirty-seven!!,surprise
30,31,2,8,31,I don't care how big they are!,1,Dudley Dursley,dudley dursley,I don't care how big they are!,anger
32,33,2,8,32,This will be a lovely day at the zoo. I'm really looking forward to it.,1,Petunia Dursley,petunia dursley,This will be a lovely day at the zoo. I'm really looking forward to it.,joy
35,36,2,8,21,Move!,1,Vernon Dursley,vernon dursley,Move!,anger
37,38,2,8,1,He's asleep!,1,Harry Potter,harry potter,He's asleep!,surprise
39,40,2,8,1,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",1,Harry Potter,harry potter,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",surprise
40,41,2,8,31,"Mummy, dad, come here! You won't believe what this snake is doing!",1,Dudley Dursley,dudley dursley,"Mummy, dad, come here! You won't believe what this snake is doing!",anger
41,42,2,8,31,Whoa! Ahh! Ahh!!,1,Dudley Dursley,dudley dursley,Whoa! Ahh! Ahh!!,surprise
44,45,2,8,139,SNAKE!,1,Man,man,SNAKE!,anger
45,46,2,8,31,"Mum, mummy!",1,Dudley Dursley,dudley dursley,"Mum, mummy!",anger
46,47,2,8,32,AHH!,1,Petunia Dursley,petunia dursley,AHH!,surprise
47,48,2,8,31,"Mum, help! Help me!",1,Dudley Dursley,dudley dursley,"Mum, help! Help me!",anger
48,49,2,8,32,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!",1,Petunia Dursley,petunia dursley,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!",surprise
51,52,3,8,21,What happened?!,1,Vernon Dursley,vernon dursley,What happened?!,surprise
52,53,3,8,1,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",1,Harry Potter,harry potter,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",surprise
53,54,3,8,21,There's no such thing as magic!,1,Vernon Dursley,vernon dursley,There's no such thing as magic!,anger
