Chapter ID,Character ID,Dialogue,Character Name,Species,Gender,House,Dialogue Length,sadness,joy,love,anger,fear,surprise
1,4,I should have known that you would be here...Professor McGonagall.,Albus Dumbledore,Human,Male,Gryffindor,66,0.02326005,0.3888613,0.016447641,0.34973687,0.21622182,0.0054723397
1,7,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",Minerva McGonagall,Human,Female,Gryffindor,64,0.011105159,0.17394648,0.006061196,0.12452585,0.67920065,0.0051607057
1,4,"I'm afraid so, Professor. The good, and the bad.",Albus Dumbledore,Human,Male,Gryffindor,48,0.0041212146,0.009717593,0.0019717603,0.024115426,0.9588346,0.0012393333
1,7,And the boy?,Minerva McGonagall,Human,Female,Gryffindor,12,0.005385393,0.04437984,0.003078699,0.81394285,0.13088222,0.00233098
1,4,Hagrid is bringing him.,Albus Dumbledore,Human,Male,Gryffindor,23,0.017564096,0.3072614,0.009925896,0.5516033,0.11024782,0.0033974203
1,7,Do you think it wise to trust Hagrid with something as important as this?,Minerva McGonagall,Human,Female,Gryffindor,73,0.00036606973,0.99618405,0.0011024269,0.00066824653,0.0014693,0.0002098621
1,4,"Ah, Professor, I would trust Hagrid with my life.",Albus Dumbledore,Human,Male,Gryffindor,49,0.01197502,0.8854513,0.0114638265,0.04244274,0.046759,0.0019081685
1,5,"Professor Dumbledore, Sir. Professor McGonagall.",Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,48,0.017792063,0.07856791,0.008672114,0.28314716,0.6063247,0.0054960377
1,4,"No problems, I trust, Hagrid?",Albus Dumbledore,Human,Male,Gryffindor,29,0.0013254996,0.98721373,0.0019055345,0.0052293898,0.004016995,0.0003088347
1,5,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,109,0.027640874,0.22601137,0.004657946,0.27420545,0.46402624,0.003458164
1,7,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",Minerva McGonagall,Human,Female,Gryffindor,160,0.016201135,0.7848875,0.008439353,0.10787304,0.08055305,0.002046014
1,4,The only family he has.,Albus Dumbledore,Human,Male,Gryffindor,23,0.11329239,0.6089997,0.019380005,0.20275274,0.05185424,0.0037208486
1,7,This boy will be famous. There won't be a child in our world who doesn't know his name.,Minerva McGonagall,Human,Female,Gryffindor,87,0.0076069576,0.9793911,0.0017053051,0.0076776245,0.0026879804,0.0009310103
1,4,Exactly. He's better off growing up away from all that. Until he is ready.,Albus Dumbledore,Human,Male,Gryffindor,74,0.0113602495,0.9437984,0.0062575447,0.02288211,0.014064854,0.001636813
1,4,"There, there, Hagrid. It's not really goodbye, after all.",Albus Dumbledore,Human,Male,Gryffindor,57,0.101774566,0.81662816,0.021336794,0.047858924,0.011080734,0.0013207019
1,4,Good luck...Harry Potter.,Albus Dumbledore,Human,Male,Gryffindor,25,0.0011259338,0.99128646,0.0020282646,0.0033900829,0.0018324123,0.0003368733
2,32,Up. Get up.  Now!,Petunia Dursley,Human,Female,,17,0.0069407932,0.82491195,0.0040745186,0.14451243,0.018367464,0.0011927946
2,31,"Wake up, cousin! We're going to the zoo!",Dudley Dursley,Human,Male,,40,0.0075730556,0.2523377,0.0046910797,0.6137967,0.11907881,0.0025226562
2,32,"Oh, here he comes, the birthday boy!",Petunia Dursley,Human,Female,,36,0.01074198,0.6732287,0.0045160796,0.29558054,0.012434063,0.0034986115
2,21,"Happy birthday, son.",Vernon Dursley,Human,Male,,20,0.025356892,0.9205371,0.008546233,0.039322477,0.0043153157,0.0019219032
2,32,"Why don't you just cook the breakfast, and try not to burn anything.",Petunia Dursley,Human,Female,,68,0.020319209,0.5826212,0.007959881,0.36520693,0.021739991,0.0021527535
2,1,"Yes, Aunt Petunia.",Harry Potter,Human,Male,Gryffindor,18,0.051973026,0.56957847,0.037900724,0.27390257,0.062046356,0.004598788
2,32,I want everything to be perfect for my Dudley's special day.,Petunia Dursley,Human,Female,,60,0.0010976413,0.99275726,0.0039224937,0.0013347693,0.00043363855,0.00045416746
2,21,"Hurry up! Bring my coffee, boy!",Vernon Dursley,Human,Male,,31,0.0067180204,0.5249678,0.006742986,0.42108783,0.03828689,0.0021965224
2,1,"Yes, Uncle Vernon.",Harry Potter,Human,Male,Gryffindor,18,0.0831282,0.611841,0.012750587,0.26965055,0.021459725,0.0011699026
2,32,"Aren't they wonderful, darling?",Petunia Dursley,Human,Female,,31,0.00095327786,0.63858485,0.35649595,0.0010797897,0.00087451626,0.002011655
2,31,How many are there?,Dudley Dursley,Human,Male,,19,0.012928631,0.68072665,0.012252606,0.21962634,0.071658686,0.0028070845
2,21,Thirty-six. Counted 'em myself.,Vernon Dursley,Human,Male,,31,0.040554743,0.7387028,0.008142882,0.17746076,0.03127968,0.0038591712
2,31,Thirty-six?! But last year last year I had thirty-seven!!,Dudley Dursley,Human,Male,,57,0.020524796,0.8668946,0.002128103,0.07986089,0.028568009,0.0020235996
2,21,"Err yes, well, some of them are quite a bit bigger than last year.",Vernon Dursley,Human,Male,,66,0.0062764706,0.9528028,0.0045175157,0.021190796,0.013222094,0.0019902668
2,31,I don't care how big they are!,Dudley Dursley,Human,Male,,30,0.011099257,0.21801992,0.0038625759,0.75841266,0.0074521755,0.0011533682
2,32,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",Petunia Dursley,Human,Female,,136,0.0067965053,0.9593123,0.0052544526,0.018252907,0.008714959,0.0016687933
2,32,This will be a lovely day at the zoo. I'm really looking forward to it.,Petunia Dursley,Human,Female,,71,0.003174204,0.2630721,0.72848123,0.0014662205,0.001567819,0.0022383572
2,21,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",Vernon Dursley,Human,Male,,106,0.009310912,0.6792237,0.006914227,0.048600584,0.023602253,0.23234832
2,31,Make it move.,Dudley Dursley,Human,Male,,13,0.028909177,0.4552573,0.008411418,0.4553068,0.049132645,0.002982595
2,21,Move!,Vernon Dursley,Human,Male,,5,0.0065056016,0.44810313,0.007187521,0.4058858,0.12985289,0.0024649843
2,31,MOVE!,Dudley Dursley,Human,Male,,5,0.008645055,0.32917774,0.011337363,0.4561554,0.1918257,0.0028587086
2,1,He's asleep!,Harry Potter,Human,Male,Gryffindor,12,0.12997027,0.33072022,0.0047843065,0.16181882,0.36943504,0.0032713308
2,31,He's boring.,Dudley Dursley,Human,Male,,12,0.95928746,0.015718065,0.001565389,0.022182772,0.0007198801,0.00052636774
