House,anticipation,disgust,fear,joy,sadness,surprise,trust
Gryffindor,0,0,0,0,0,0,0
Gryffindor,1,0,0,1,0,1,2
Gryffindor,0,0,1,0,0,0,0
Gryffindor,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,2
Gryffindor,0,0,0,0,0,0,1
Gryffindor,0,0,0,0,0,0,2
Gryffindor,0,0,0,0,0,0,0
Gryffindor,0,0,1,0,1,0,0
Gryffindor,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,0
Gryffindor,1,1,0,1,0,0,0
Gryffindor,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,0
Gryffindor,1,0,0,1,0,1,1
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,1,0,0,1,0,1,0
,1,0,0,1,0,0,1
,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,1
,1,0,0,2,0,0,1
,1,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,1,0,0,1,1,1,1
,0,0,1,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Gryffindor,0,3,1,0,0,0,0
,0,1,1,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,1,0,0,1
,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,1
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
Gryffindor,0,0,0,0,0,0,1
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,1
Gryffindor,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
